key,section,cs,en,uk,cs_web_suggested,en_web_suggested,notes_for_translator
bookingSummaryMissingSlot,Reservation create flow,Nejdřív vyberte termín u konkrétního holiče.,Please select a time slot with a specific barber first.,,,,
bookingSummaryPrice,Reservation create flow,Cena,Price,,,,
bookingTo,Trip detail / Booking detail,Do,To,,,,
bookingTotal,Trip detail / Booking detail,Celkem,Total,,,,
bookingWaitlist,Reservation create flow,Čekací listina,Waitlist,,,,
bookingYourAppointment,Trip detail / Booking detail,Vaše návštěva,Your appointment,,,,
branchAboutSalon,Branch detail,O salonu,About the salon,,,,
branchAddressNotSet,Branch detail,Adresa není zadána,Address not set,,,,
branchContactSmsAria,Branch detail,Napsat SMS,Send SMS,,,,
branchContactTelegramAria,Branch detail,Napsat Telegram,Send Telegram,,,,
branchContactWhatsAppAria,Branch detail,Napsat WhatsApp,Send WhatsApp,,,,
branchCopyAddress,Service / Barber detail,Zkopírovat adresu,Copy address,,,,
branchDescription,Branch detail,Popis pobočky,Branch description,,,,
branchDirectionsVideoTitle,Branch detail,Jak se k nám dostanete?,How to get to us,,,,
branchFullRating,Branch detail,Celý průměr,Full rating,,,,
branchInteriorTitle,Branch detail,Interiér,Interior,,,,
branchLoadingReviews,Branch detail,Načítání recenzí…,Loading reviews…,,,,
branchMenuBook,Service / Barber detail,Objednat se na pobočku,Book at branch,,,,
branchMenuOpen,Service / Barber detail,Menu pobočky,Branch menu,,,,
branchMine,Branch detail,Moje,Mine,,,,
branchNavigateSectionTitle,Kudy,Navigovat,Navigate,,,,
branchNavigateSheetHeading,Kudy,Navigovat do pobočky,Navigate to branch,,,,
branchOtherBranchesTitle,Branch detail,Další pobočky,Other branches,,,,
branchParkingMapTitle,Branch detail,Parkovací mapa,Parking map,,,,
branchReadMore,Branch detail,Číst více,Read more,,,,
branchReserve,Branch detail,Rezervovat,Reserve,,,,
branchReview,Branch detail,Recenze,Review,,,,
branchReviews,Branch detail,recenze,reviews,,,,
branchServices,Branch detail,Služby,Services,,,,
branchShareEmailBody,Service / Barber detail,Podívej se na pobočku {name}:\n{url},Check out branch {name}:\n{url},,,,
branchShareEmailSubject,Service / Barber detail,Pobočka {name} — Real Barber,Branch {name} — Real Barber,,,,
branchShareSheetTitle,Service / Barber detail,Sdílet pobočku,Share branch,,,,
branchTeam,Branch detail,Tým,Team,,,,
branchTitle,Branch detail,Pobočka,Branch,,,,
branchUpdateReview,Branch detail,Upravit recenzi,Update review,,,,
branchView3d,Branch detail,Prohlédnout pobočku ve 3D,View the branch in 3D,,,,
branchVirtualTourTitle,Branch detail,Virtuální prohlídka,Virtual tour,,,,
branchWeb,Branch detail,Web,Web,,,,
branchWriteReview,Branch detail,Napsat recenzi,Write review,,,,
branchesGallery,Common,Galerie,Gallery,,,,
breadcrumbBlog,Home tabs (horizontal scroll under home),Blog,Blog,,,,
breadcrumbNavLabel,Home tabs (horizontal scroll under home),Drobečková navigace,Breadcrumb navigation,,,,
calendarNextWeek,Calendar chips,Příští týden,Next week,,,,
calendarThisMonth,Calendar chips,Tento měsíc,This month,,,,
calendarThisWeek,Calendar chips,Tento týden,This week,,,,
calendarTitle,Calendar,Kalendář,Calendar,,,,
calendarUpcomingBookings,Calendar,Nadcházející rezervace,Upcoming Bookings,,,,
cancelReasonChangeOfPlans,Trip detail,Změna plánů,Change of plans,,,,
cancelReasonNoTime,Trip detail,Nestíhám :(,I won't make it :(,,,,
cancelReasonOther,Trip detail,Jiný důvod,Other reason,,,,
cancelReasonOtherTerm,Trip detail,Mám jiný termín,I have a different time,,,,
changePasswordConfirmNew,Auth,Potvrdit nové heslo,Confirm new password,,,,
changePasswordCurrent,Auth,Aktuální heslo,Current password,,,,
changePasswordErrorFailed,Auth,Změna hesla se nepodařila. Zkontrolujte prosím své aktuální heslo.,Failed to change password. Please check your current password.,,,,
changePasswordErrorFillAll,Auth,Vyplňte prosím všechna pole.,Please fill in all fields.,,,,
changePasswordErrorMinLength,Auth,Nové heslo musí mít alespoň 6 znaků.,New password must be at least 6 characters.,,,,
changePasswordErrorMismatch,Auth,Nová hesla se neshodují.,New passwords do not match.,,,,
changePasswordErrorNotLoggedIn,Auth,Musíte být přihlášeni.,You must be logged in.,,,,
changePasswordErrorSameAsCurrent,Auth,Nové heslo musí být jiné než aktuální.,New password must be different from current password.,,,,
changePasswordHintMinLength,Auth,Heslo musí mít alespoň 6 znaků.,Password must be at least 6 characters.,,,,
changePasswordNew,Auth,Nové heslo,New password,,,,
changePasswordPlaceholderConfirm,Auth,Zadejte nové heslo znovu,Enter new password again,,,,
changePasswordPlaceholderCurrent,Auth,Zadejte aktuální heslo,Enter current password,,,,
changePasswordPlaceholderNew,Auth,Zadejte nové heslo (min. 6 znaků),Enter new password (min. 6 characters),,,,
changePasswordSuccessTitle,Auth,Heslo změněno,Password changed,,,,
changePasswordTipLabel,Auth,Tip:,Tip:,,,,
changePasswordTipText,Auth,"""Použijte silné heslo s písmeny, čísly a speciálními znaky.""","""Use a strong password with letters, numbers and special characters.""",,,,
changePasswordTitle,Change password,Změnit heslo,Change password,,,,
chatMessages,Chat,Zprávy,Messages,,,,
chatTitle,Chat,Chat,Chat,,,,
checkoutAddNewCard,Checkout,Přidat novou kartu,Add New Card,,,,
checkoutApplePay,Checkout,Apple Pay,Apple Pay,,,,
checkoutApplePayDescription,Checkout,Platba přes Apple Pay,Pay using Apple Pay,,,,
checkoutChooseMethod,Checkout,Vybrat způsob rezervace,Choose booking method,,,,
checkoutGooglePay,Checkout,Google Pay,Google Pay,,,,
checkoutGooglePayDescription,Checkout,Platba přes Google Pay,Pay using Google Pay,,,,
checkoutNoSpecialists,Checkout,V této pobočce nejsou žádní specialisté.,No specialists at this branch.,,,,
checkoutOrderReview,Checkout,Shrnutí objednávky,Order review,,,,
checkoutOrderReviewSubtitle,Checkout,Zkontrolujte svou objednávku,Review your logo design order,,,,
checkoutPayment,Checkout,Platba,Payment,,,,
checkoutPaymentMethod,Checkout,Platební metoda,Payment method,,,,
checkoutPaymentSubtitle,Checkout,Vyberte platební metodu pro vaši objednávku,Choose a payment method for your design service,,,,
checkoutProjectDetails,Checkout,Detaily projektu,Project Details,,,,
checkoutReview,Checkout,Recenze,Review,,,,
checkoutSelectMethodSubtitle,Checkout,"""Vyberte, jak chcete rezervovat""",Select how you want to book,,,,
checkoutSelectSpecialist,Checkout,Vybrat specialistu,Select specialist,,,,
checkoutSelectSpecialistSubtitle,Checkout,"""Vyberte barbera, jehož volné časy chcete vidět""",Choose the barber whose available times you want to see,,,,
clipboardCopied,Service / Barber detail,Zkopírováno!,Copied!,,,,
clipboardCopyAria,Service / Barber detail,Kopírovat,Copy,,,,
commonBack,Product detail,Zpět,Back,,,,
commonCancel,Common,Zrušit,Cancel,,,,
commonDelete,Common,Smazat,Delete,,,,
commonEdit,Service / Barber detail,Upravit,Edit,,,,
commonError,Common,Chyba,Error,,,,
commonLoading,Common,Načítání…,Loading…,,,,
commonNo,Common,Ne,No,,,,
commonRecipient,Transfer,Příjemce,Recipient,,,,
commonReserve,Service / Barber detail,Rezervovat,Reserve,,,,
commonSave,Common,Uložit,Save,,,,
commonViewAll,Common,Zobrazit vše,View all,,,,
commonYes,Common,Ano,Yes,,,,
communicationChannel_email,Settings,E-mail,Email,,,,
communicationChannel_phoneCall,Settings,Telefonický hovor,Phone call,,,,
communicationChannel_pushBasic,Settings,Push notifikace,Push notifications,,,,
communicationChannel_pushNotification,Settings,Push notifikace · Doporučujeme ✓,Push notifications · Recommended ✓,,,,
communicationChannel_sms,Settings,SMS,SMS,,,,
communicationChannel_telegram,Settings,Telegram,Telegram,,,,
communicationChannel_whatsApp,Settings,WhatsApp,WhatsApp,,,,
communicationContent_favoriteServicesAndProducts,Settings,Oblíbené služby a produkty,Favorite services and products,,,,
communicationContent_newsAndPromotions,Settings,Novinky a akce,News and promotions,,,,
communicationContent_reviewsAndFeedback,Settings,Recenze a zpětná vazba,Reviews and feedback,,,,
communicationContent_satisfactionSurveys,Settings,Průzkumy spokojenosti,Satisfaction surveys,,,,
communicationSettingsChannelsSection,Settings,Kanály,Channels,,,,
communicationSettingsContentSection,Settings,Typy obsahu,Content types,,,,
communicationSettingsLoadError,Settings,Nepodařilo se načíst nastavení.,Could not load settings.,,,,
communicationSettingsNeedLogin,Settings,Pro úpravu se přihlaste.,Sign in to change preferences.,,,,
communicationSettingsSaveError,Settings,Uložení se nezdařilo. Zkuste to znovu.,Save failed. Please try again.,,,,
communicationSettingsSubtitle,Settings,,Choose how we can reach you and what you want to hear about.,,,,
communicationSettingsTitle,Settings,Komunikační preference,Communication preferences,,,,
contactsAccessible,Real Barber home screen,Bezbariérový přístup,Step-free access,,,,
contactsBranchHoursIntro,Real Barber home screen,Všechny naše pobočky mají stejnou otevírací dobu:,All our branches share the same opening hours:,,,,
contactsFirstVisitCta,Real Barber home screen,Doporučení k první návštěvě v barbershopu,Tips for your first barbershop visit,,,,
contactsHowToGetTitle,Real Barber home screen,Jak se k nám dostanete?,How to get to us,,,,
contactsJumpNavLabel,Real Barber home screen,Přejít na pobočku,Jump to branch,,,,
contactsNoteLabel,Real Barber home screen,Poznámka:,Note:,,,,
contactsOpenInMaps,Real Barber home screen,Otevřít v Mapách,Open in Maps,,,,
contactsOperatorHoursAlertTitle,Real Barber home screen,Hodiny zákaznické podpory:,Customer support hours:,,,,
contactsOperatorHoursWeekdays,Real Barber home screen,Po–Pá: 08:30–21:30,Mon–Fri: 08:30–21:30,,,,
contactsOperatorHoursWeekend,Real Barber home screen,So–Ne: 09:30–18:30,Sat–Sun: 09:30–18:30,,,,
contactsOperatorStatusClosed,Real Barber home screen,Zákaznická podpora je offline,Customer support is offline,,,,
contactsOperatorStatusClosingSoon,Real Barber home screen,Zákaznická podpora brzy zavírá,Customer support closing soon,,,,
contactsOperatorStatusOpen,Real Barber home screen,Zákaznická podpora je online,Customer support is online,,,,
contactsOperatorStatusOpeningSoon,Real Barber home screen,Zákaznická podpora brzy otevírá,Customer support opening soon,,,,
contactsTitle,Real Barber home screen,Kontakty,Contacts,,,,
contactsTravelGoogleMaps,Real Barber home screen,Jeďte pohodlně s Google Maps,Go comfortably with Google Maps,,,,
contactsTravelUber,Real Barber home screen,Jeďte s Uber,Ride with Uber,,,,
contactsTravelWaze,Real Barber home screen,Jeďte bezpečně s Waze,Drive safely with Waze,,,,
contactsVisitRulesTitle,Real Barber home screen,Pravidla návštěv,Visit rules,,,,
currencyTitle,Currency,Měna,Currency,,,,
dashboardArrivingSoon,Dashboard,Brzy přijede,Arriving soon,,,,
dashboardRecentNotifications,Dashboard,Nedávná upozornění,Recent notifications,,,,
dashboardRecentReservations,Dashboard,Nedávné rezervace,Recent reservations,,,,
dashboardUpcoming,Dashboard,Nadcházející,Upcoming,,,,
datePickerCancel,Native date picker (iOS modal toolbar),Zrušit,Cancel,,,,
datePickerDone,Native date picker (iOS modal toolbar),Hotovo,Done,,,,
datePickerPlaceholder,Native date picker (iOS modal toolbar),Vyberte datum,Select date,,,,
earningsUpcoming,Earnings,Nadcházející,Upcoming,,,,
earningsYouveMade,Earnings,Vydělali jste,You've made,,,,
editProfileAddress,Edit profile,Adresa,Address,,,,
editProfileBirthday,Edit profile,Datum narození,Birthday,,,,
editProfileChangePhoto,Edit profile,Změnit fotku,Change photo,,,,
editProfileCity,Edit profile,Město,City,,,,
editProfileContact,Edit profile,Kontakt,Contact,,,,
editProfileCountry,Edit profile,Země,Country,,,,
editProfileEmail,Edit profile,E-mail,Email,,,,
editProfileFirstName,Edit profile,Jméno,First name,,,,
editProfileLastName,Edit profile,Příjmení,Last name,,,,
editProfileLoading,Edit profile,Načítání profilu…,Loading profile…,,,,
editProfilePersonalInfo,Edit profile,Osobní údaje,Personal information,,,,
editProfilePhone,Edit profile,Telefon,Phone,,,,
editProfilePhoneNumber,Edit profile,Telefonní číslo,Phone number,,,,
editProfilePhoto,Edit profile,Fotka,Photo,,,,
editProfilePhotoSourceCamera,Edit profile,Vyfotit,Take photo,,,,
editProfilePhotoSourceLibrary,Edit profile,Vybrat z galerie,Choose from library,,,,
editProfilePhotoSourceTitle,Edit profile,Vyberte zdroj fotky,Choose a photo source,,,,
editProfileRemovePhoto,Edit profile,Odstranit fotku,Remove photo,,,,
editProfileSaveChanges,Edit profile,Uložit změny,Save changes,,,,
editProfileSendSms,Edit profile,Odeslat SMS žádost,Send SMS request,,,,
editProfileStreet,Edit profile,Ulice,Street,,,,
editProfileSubtitle,Edit profile,Správa nastavení účtu,Manage your account settings,,,,
editProfileTitle,Edit profile,Nastavení profilu,Profile Settings,,,,
editProfileUploadPhoto,Edit profile,Nahrát fotku,Upload photo,,,,
editProfileWhatsApp,Edit profile,WhatsApp žádost,WhatsApp request,,,,
editProfileZip,Edit profile,PSČ,ZIP,,,,
experienceAllBarbers,Experience,Všichni barbeři,All barbers,,,,
experienceBestRated,Experience,Nejlépe hodnocení barbeři,Best rated barbers,,,,
experienceMyFavorites,Experience,Moji oblíbení barbeři,My favorite barbers,,,,
experienceNewBarbers,Experience,Noví barbeři,New barbers,,,,
experienceNewBarbersBadge,Experience,Nový,New,,,,
experienceNewBarbersDesc,Experience,,Barbers who have recently joined and are ready to take care of you.,,,,
experiencePopularToday,Experience,Dnes dostupní oblíbení barbeři,Popular barbers available today,,,,
experienceSchedule,Experience,Rozvrh,Schedule,,,,
favoritesBadgeBarber,Favorites tab,Holič,Barber,,,,
favoritesBadgeBranch,Favorites tab,Pobočka,Branch,,,,
favoritesBadgeGuide,Favorites tab,Průvodce,Guide,,,,
favoritesBadgeProduct,Favorites tab,Produkt,Product,,,,
favoritesBadgePromotion,Favorites tab,Akce,Promotion,,,,
favoritesBadgeService,Favorites tab,Služba,Service,,,,
favoritesBranches,Favorites tab,Pobočky,Branches,,,,
favoritesBrowseSubtitle,Favorites tab,"""Prohlížejte pobočky, holiče a služby a ukládejte si oblíbené""","""Browse branches, barbers and services and save your favorites""",,,,
